#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Physo140526	Physo136950	8202631	8199680	67593.Physo140526	67593.Physo136950	0.150	0	0	0	0.056	0.256	0	0.267	0.503
Physo130440	Physo129478	8194302	8193581	67593.Physo130440	67593.Physo129478	0	0	0	0	0.204	0.187	0	0.291	0.501
Physo130101	Physo108358	8194058	8189428	67593.Physo130101	67593.Physo108358	0	0	0	0	0.118	0.271	0	0.284	0.499
Physo141213	Physo108358	8203188	8189428	67593.Physo141213	67593.Physo108358	0	0	0	0	0.500	0	0	0	0.499
Physo141213	Physo139352	8203188	8201648	67593.Physo141213	67593.Physo139352	0	0	0	0	0.498	0	0	0	0.497
Physo137994	Physo108380	8200519	8189445	67593.Physo137994	67593.Physo108380	0	0.496	0	0	0	0	0	0	0.496
Physo129672	Physo122042	8193748	8191154	67593.Physo129672	67593.Physo122042	0	0	0.376	0	0.064	0.132	0	0.123	0.495
Physo140526	Physo129624	8202631	8193707	67593.Physo140526	67593.Physo129624	0.316	0	0	0	0.065	0.227	0	0.100	0.495
Physo130403	Physo129624	8194283	8193707	67593.Physo130403	67593.Physo129624	0	0	0.479	0.682	0.102	0.134	0	0.847	0.492
Physo141008	Physo130101	8203027	8194058	67593.Physo141008	67593.Physo130101	0	0	0	0	0.321	0	0	0.278	0.488
Physo130101	Physo108304	8194058	8189388	67593.Physo130101	67593.Physo108304	0	0	0	0	0.198	0	0	0.386	0.486
Physo130101	Physo109580	8194058	8190427	67593.Physo130101	67593.Physo109580	0	0	0	0	0.198	0	0	0.386	0.486
Physo133473	Physo129624	8196821	8193707	67593.Physo133473	67593.Physo129624	0	0	0.479	0.853	0.204	0.278	0	0.563	0.485
Physo141213	Physo129738	8203188	8193803	67593.Physo141213	67593.Physo129738	0	0	0	0	0.470	0	0	0.068	0.484
Physo145066	Physo135522	8206333	8198478	67593.Physo145066	67593.Physo135522	0	0	0	0	0.082	0.272	0	0.283	0.478
Physo135012	Physo133833	8198063	8197136	67593.Physo135012	67593.Physo133833	0	0	0	0	0.045	0.290	0	0.290	0.476
Physo133404	Physo108881	8196769	8189843	67593.Physo133404	67593.Physo108881	0	0	0.233	0	0.222	0	0	0.192	0.475
Physo133404	Physo108358	8196769	8189428	67593.Physo133404	67593.Physo108358	0	0	0.247	0	0.186	0	0	0.213	0.475
Physo138171	Physo108358	8200659	8189428	67593.Physo138171	67593.Physo108358	0	0	0	0	0.213	0.304	0	0.120	0.475
Physo132086	Physo108612	8195673	8189630	67593.Physo132086	67593.Physo108612	0	0	0	0	0.475	0	0	0	0.475
Physo140526	Physo133473	8202631	8196821	67593.Physo140526	67593.Physo133473	0.316	0	0	0	0.055	0.227	0	0.073	0.474
Physo132002	Physo122042	8195599	8191154	67593.Physo132002	67593.Physo122042	0	0	0	0	0.200	0.159	0	0.282	0.474
Physo128237	Physo108881	8192640	8189843	67593.Physo128237	67593.Physo108881	0	0	0	0	0.468	0	0	0	0.468
Physo136856	Physo136496	8199595	8199306	67593.Physo136856	67593.Physo136496	0	0	0	0	0	0	0	0.466	0.465
Physo132531	Physo129478	8196052	8193581	67593.Physo132531	67593.Physo129478	0	0	0	0	0.045	0.147	0	0.392	0.461
Physo109716	Physo108569	8190542	8189597	67593.Physo109716	67593.Physo108569	0	0	0	0	0.313	0.117	0	0.182	0.460
Physo133004	Physo128935	8196444	8193212	67593.Physo133004	67593.Physo128935	0	0	0	0	0.115	0.304	0	0.193	0.459
Physo140785	Physo111873	8202857	8190699	67593.Physo140785	67593.Physo111873	0	0	0	0	0.167	0.298	0	0.150	0.459
Physo140526	Physo135274	8202631	8198273	67593.Physo140526	67593.Physo135274	0.146	0	0	0	0.109	0.205	0	0.211	0.458
Physo134534	Physo127705	8197704	8192207	67593.Physo134534	67593.Physo127705	0	0	0	0	0.175	0.162	0	0.272	0.452
Physo140785	Physo140526	8202857	8202631	67593.Physo140785	67593.Physo140526	0	0	0	0	0.106	0.302	0	0.191	0.451
Physo140785	Physo135522	8202857	8198478	67593.Physo140785	67593.Physo135522	0	0	0	0	0.047	0.122	0	0.396	0.450
Physo130403	Physo130074	8194283	8194037	67593.Physo130403	67593.Physo130074	0	0	0	0	0.129	0	0	0.394	0.449
Physo139485	Physo131860	8201762	8195476	67593.Physo139485	67593.Physo131860	0	0	0	0	0.289	0.158	0	0.151	0.447
Physo129624	Physo128782	8193707	8193080	67593.Physo129624	67593.Physo128782	0	0	0	0	0.064	0.132	0	0.371	0.444
Physo139352	Physo135412	8201648	8198381	67593.Physo139352	67593.Physo135412	0	0	0	0	0.288	0.172	0	0.131	0.442
Physo133473	Physo132002	8196821	8195599	67593.Physo133473	67593.Physo132002	0.079	0	0	0	0.321	0.115	0	0.110	0.441
Physo139352	Physo130074	8201648	8194037	67593.Physo139352	67593.Physo130074	0	0	0	0	0.295	0.225	0	0.059	0.440
Physo131860	Physo123541	8195476	8191226	67593.Physo131860	67593.Physo123541	0.081	0	0	0	0.234	0.241	0	0.072	0.437
Physo123541	Physo108881	8191226	8189843	67593.Physo123541	67593.Physo108881	0	0	0	0	0.288	0.163	0	0.125	0.433
Physo133473	Physo130403	8196821	8194283	67593.Physo133473	67593.Physo130403	0	0	0.480	0.730	0.205	0.134	0	0.396	0.433
Physo144477	Physo135063	8205845	8198105	67593.Physo144477	67593.Physo135063	0	0	0	0	0.104	0	0	0.393	0.432
Physo136950	Physo129624	8199680	8193707	67593.Physo136950	67593.Physo129624	0	0	0	0	0.055	0.220	0	0.291	0.431
Physo140526	Physo132002	8202631	8195599	67593.Physo140526	67593.Physo132002	0	0	0	0	0.129	0.167	0	0.276	0.428
Physo140526	Physo129465	8202631	8193571	67593.Physo140526	67593.Physo129465	0.317	0	0	0	0.081	0.105	0	0.101	0.427
Physo140526	Physo139518	8202631	8201790	67593.Physo140526	67593.Physo139518	0	0	0	0	0.060	0.306	0	0.193	0.427
Physo136950	Physo128237	8199680	8192640	67593.Physo136950	67593.Physo128237	0.086	0	0	0	0.064	0.059	0	0.369	0.424
Physo156262	Physo143804	8207200	8205295	67593.Physo156262	67593.Physo143804	0	0	0	0	0.128	0.150	0	0.286	0.424
