Glyma01g04570	Glyma01g04570 	Glyma01g04570 	Glyma.01g038800 
Glyma02g02990	Glyma02g02990 	Glyma02g02990 	Glyma.02g025900 
Glyma08g15560	Glyma08g15560 	Glyma08g15560 	Glyma.08g147000 
Glyma05g32290	Glyma05g32290 	Glyma05g32290 	Glyma.05g189400 
Glyma11g15300	Glyma11g15300 	Glyma11g15300 	Glyma.11g143900 
Glyma04g09950	Glyma04g09950 	Glyma04g09950 	Glyma.04g093600 
Glyma06g10000	Glyma06g10000 	Glyma06g10000 	Glyma.06g095500 
Glyma08g22570	Glyma08g22570 	Glyma08g22570 	Glyma.08g211400 
Glyma07g03530	Glyma07g03530 	Glyma07g03530 	Glyma.07g031400 
Glyma19g32290	Glyma19g32290 	Glyma19g32290 	Glyma.19g141200 
Glyma03g29470	Glyma03g29470 	Glyma03g29470 	Glyma.03g138200 
Glyma01g43580	Glyma01g43580 	Glyma01g43580 	Glyma.01g226200 
Glyma04g00280	Glyma04g00280 	Glyma04g00280 	Glyma.04g001600 
Glyma06g00330	Glyma06g00330 	Glyma06g00330 	Glyma.06g001100 
Glyma19g30560	Glyma19g30560 	Glyma19g30560 	Glyma.19g125600 
Glyma03g27590	Glyma03g27590 	Glyma03g27590 	Glyma.03g121000 
Glyma06g16110	Glyma06g16110 	Glyma06g16110 	Glyma.06g155300 
Pold1
Glyma11g09660	Glyma11g09660 	Glyma11g09660 	Glyma.11g091200 
Glyma18g52510	Glyma18g52510 	Glyma18g52510 	Glyma.18g288200 
Glyma06g01620	Glyma06g01620 	Glyma06g01620 	Glyma.06g013800 
Glyma13g10700	Glyma13g10700 	Glyma13g10700 	Glyma.13g003700 
Glyma11g07890	Glyma11g07890 	Glyma11g07890 	Glyma.11g074600 
Glyma01g37393	Glyma01g37400 	Glyma01g37393 	Glyma.01g168900 
Glyma02g21970	Glyma02g22050 Glyma02g22070 	Glyma02g21970 	Glyma.02g162300 
Glyma04g00230	Glyma04g00230 	Glyma04g00230 	Glyma.04g001100 
Glyma03g16440	Glyma03g16440 	Glyma03g16440 	Glyma.04g108100 
Glyma20g16070	Glyma20g16070 	Glyma20g16070 	Glyma.20g065900 
Glyma06g00310	Glyma06g00310 	Glyma06g00310 	Glyma.06g000900 
Glyma13g41740	Glyma13g41740 	Glyma13g41740 	Glyma.13g342400 
Glyma08g04170	Glyma08g04170 	Glyma08g04170 	Glyma.08g037300 
Helrp
Glyma11g37910	Glyma11g37910 	Glyma11g37910 	Glyma.11g242300 
Glyma01g22490	Glyma01g22490 	Glyma01g22490 	Glyma.01g087900 
Glyma08g11920	Glyma08g11920 	Glyma08g11920 	Glyma.08g113000 
Glyma05g28770	Glyma05g28770 	Glyma05g28770 	Glyma.05g155100 
Loc547863
Glyma02g42420	Glyma02g42420 	Glyma02g42420 	Glyma.02g257100 
Glyma07g38811	Glyma07g38810 	Glyma07g38811 	Glyma.07g258400 
Glyma08g16560	Glyma08g16560 	Glyma08g16560 	Glyma.08g155900 
Glyma14g37780	Glyma14g37780 	Glyma14g37780 	Glyma.14g198700 
Glyma09g32830	Glyma09g32830 	Glyma09g32830 	Glyma.09g195800 
Glyma02g39710	Glyma02g39710 	Glyma02g39710 	Glyma.02g231100 
Glyma16g02880	Glyma16g02880 	Glyma16g02880 	Glyma.16g025700 
Glyma07g06240	Glyma07g06240 	Glyma07g06240 	Glyma.07g056600 
Glyma09g28100	Glyma09g28100 	Glyma09g28100 	Glyma.09g153900 
Glyma13g24640	Glyma13g24640 	Glyma13g24640 	Glyma.13g177900 
Glyma07g31830	Glyma07g31830 	Glyma07g31830 	Glyma.07g198500 
Glyma02g17021	Glyma02g17020 	Glyma02g17021 	Glyma.02g151200 
Glyma06g07911	no correspondence	Glyma06g07911 	Glyma.06g075300 
Glyma06g23290	Glyma06g23290 	Glyma06g23290 	Glyma.06g209400 
Glyma05g34180	Glyma05g34180 	Glyma05g34180 	Glyma.05g242800 
Glyma08g05480	Glyma08g05480 	Glyma08g05480 	Glyma.08g050200 
Glyma15g43289	Glyma15g43300 Glyma15g43260 	Glyma15g43289 	Glyma.15g276800 
Glyma09g32600	Glyma09g32600 	Glyma09g32600 	Glyma.09g193300 
Glyma01g34700	Glyma01g34700 	Glyma01g34700 	Glyma.01g145400 
Glyma06g19630	Glyma06g19630 	Glyma06g19630 	Glyma.06g184500 
Glyma03g23910	Glyma03g23910 	Glyma03g23910 	Glyma.03g097900 
Glyma05g34243	Glyma05g34240 	Glyma05g34243 	Glyma.05g242100 
Glyma02g41870	Glyma02g41870 	Glyma02g41870 	Glyma.02g251400 
Glyma08g05090	Glyma08g05090 	Glyma08g05090 	Glyma.08g046100 
Glyma14g13792	Glyma14g13790 	Glyma14g13792 	no correspondence
Glyma13g26260	Glyma13g26260 	Glyma13g26260 	Glyma.13g193500 
Glyma19g02061	Glyma19g02060 	Glyma19g02061 	Glyma.19g017500 
Sac1
Glyma11g02190	Glyma11g02190 	Glyma11g02190 	Glyma.11g019500 
Glyma11g02250	Glyma11g02250 	Glyma11g02250 	Glyma.11g020100 
Glyma06g45740	Glyma06g45740 	Glyma06g45740 	Glyma.06g301900 
Glyma03g02731	Glyma03g02730 	Glyma03g02731 	Glyma.03g024000 
Glyma01g34350	Glyma01g34350 	Glyma01g34350 	Glyma.01g142700 
Glyma17g02640	Glyma17g02640 	Glyma17g02640 	Glyma.17g023600 
Glyma07g38050	Glyma07g38050 	Glyma07g38050 	Glyma.07g250700 
Glyma09g11960	Glyma09g11960 	Glyma09g11960 	Glyma.09g090900 
Glyma18g00730	Glyma18g00730 	Glyma18g00730 	Glyma.18g004000 
Glyma04g10481	Glyma04g10490 Glyma04g10500 	Glyma04g10481 	Glyma.04g096900 
Glyma10g03411	no correspondence	Glyma10g03411 	Glyma.10g028400 
Glyma08g09120	Glyma08g09120 	Glyma08g09120 	Glyma.08g086100 
Glyma05g26180	Glyma05g26180 	Glyma05g26180 	Glyma.05g131500 
Glyma09g03770	Glyma09g03770 	Glyma09g03770 	no correspondence
Glyma08g19650	Glyma08g19650 	Glyma08g19650 	Glyma.08g184200 
Pief
Glyma05g13880	Glyma05g13880 	Glyma05g13880 	Glyma.05g079900 
Mdh-1
Glyma06g34190	Glyma06g34190 	Glyma06g34190 	Glyma.06g231500 
Glyma19g23570	Glyma19g23570 	Glyma19g23570 	Glyma.19g080600 
Glyma15g05350	Glyma15g05350 	Glyma15g05350 	Glyma.15g048100 
Glyma11g10911	Glyma11g10910 	Glyma11g10911 	Glyma.11g102600 
Glyma11g10981	no correspondence	Glyma11g10981 	no correspondence
Glyma13g31941	Glyma13g31940 	Glyma13g31941 	Glyma.13g245700 
Cctd
Glyma13g41490	Glyma13g41490 	Glyma13g41490 	Glyma.13g340100 
Glyma15g03900	Glyma15g03900 	Glyma15g03900 	Glyma.15g034300 
Clv1b
Glyma01g04468	Glyma01g04470 	Glyma01g04468 	Glyma.01g038000 
Glyma19g28530	Glyma19g28530 	Glyma19g28530 	Glyma.19g109200 
Glyma16g04710	Glyma16g04710 	Glyma16g04710 	Glyma.16g042800 
Glyma06g13330	Glyma06g13330 	Glyma06g13330 	Glyma.06g127800 
Glyma08g32090	Glyma08g32090 	Glyma08g32090 	Glyma.08g262900 
Glyma13g44910	Glyma13g44910 	Glyma13g44910 	Glyma.13g371600 
Glyma03g35470	Glyma03g35470 	Glyma03g35470 	Glyma.03g196900 
Glyma19g38110	Glyma19g38110 	Glyma19g38110 	no correspondence
Glyma10g37020	Glyma10g37020 	Glyma10g37020 	Glyma.10g225800 
Glyma16g04030	Glyma16g04030 	Glyma16g04030 	Glyma.16g036100 
Glyma12g11060	Glyma12g11060 	Glyma12g11060 	Glyma.12g102400 
Glyma09g05221	Glyma09g05220 	Glyma09g05221 	Glyma.09g047100 
Glyma04g38360	Glyma04g38360 	Glyma04g38360 	Glyma.04g206300 
Glyma13g27170	Glyma13g27170 	Glyma13g27170 	Glyma.13g201800 
Glyma11g37330	Glyma11g37330 	Glyma11g37330 	Glyma.11g247900 
Glyma02g44930	Glyma02g44930 	Glyma02g44930 	Glyma.02g280500 
Glyma20g30590	Glyma20g30590 	Glyma20g30590 	Glyma.20g166200 
